country_name,admin1_name,latitude,longitude,aggregation,indicator,value
#country,#adm1+name,#geo+lat,#geo+lon,,#indicator+name,#indicator+num
Ukraine,Zakarpatska,48.407,23.282,max,earthquake,6.36
Ukraine,Zaporizka,47.2753,35.7,max,earthquake,5.18
Ukraine,Ivano-Frankivska,48.7048,24.6227,max,earthquake,6.56
Ukraine,Kyivska,50.2886,30.4592,max,earthquake,0
Ukraine,Kirovohradska,48.472,32.0781,max,earthquake,0
Ukraine,Luhanska,48.9778,39.0094,max,earthquake,0
Ukraine,Lvivska,49.7163,23.9198,max,earthquake,4.08
Ukraine,Mykolaivska,47.4494,31.7847,max,earthquake,4.77
Ukraine,Odeska,46.7483,29.871,max,earthquake,7.33
Ukraine,Poltavska,49.7307,33.78,max,earthquake,0
Ukraine,Rivnenska,51.0357,26.3858,max,earthquake,0
Ukraine,Sumska,51.0964,34.1094,max,earthquake,0
Ukraine,Ternopilska,49.4007,25.651,max,earthquake,6.24
Ukraine,Kharkivska,49.6094,36.5013,max,earthquake,0
Ukraine,Khersonska,46.6861,33.5858,max,earthquake,5.6
Ukraine,Khmelnytska,49.5103,26.9304,max,earthquake,6.28
Ukraine,Cherkaska,49.2618,31.3606,max,earthquake,0
Ukraine,Chernivetska,48.2683,25.9649,max,earthquake,6.59
Ukraine,Chernihivska,51.3497,32.0097,max,earthquake,0
Ukraine,Kyiv,50.4523,30.543,max,earthquake,0
Venezuela,Amazonas,3.3706,-65.9486,max,earthquake,0
Venezuela,Barinas,8.1485,-69.8521,max,earthquake,7.45
Venezuela,Bolívar,6.2418,-63.5345,max,earthquake,5.4
Venezuela,Apure,7.1347,-68.804,max,earthquake,8.18
Venezuela,Zulia,9.8934,-72.0849,max,earthquake,8.02
Venezuela,Distrito Capital,10.4759,-66.9846,max,earthquake,7.69
Venezuela,Anzoátegui,8.9409,-64.4267,max,earthquake,8.41
Venezuela,Miranda,10.2338,-66.3863,max,earthquake,7.86
Venezuela,Guárico,8.822,-66.531,max,earthquake,6.59
Venezuela,La Guaira,10.5448,-66.8557,max,earthquake,8.4
Venezuela,Aragua,9.9724,-67.1363,max,earthquake,8.4
Venezuela,Carabobo,10.1682,-68.0192,max,earthquake,7.28
Venezuela,Táchira,7.8979,-72.018,max,earthquake,7.9
Venezuela,Falcón,11.0663,-69.7791,max,earthquake,7.41
Venezuela,Lara,10.1433,-69.7837,max,earthquake,8.1
Venezuela,Mérida,8.5099,-71.2614,max,earthquake,7.65
Venezuela,Trujillo,9.4436,-70.511,max,earthquake,7.53
Venezuela,Cojedes,9.3386,-68.3521,max,earthquake,6.12
Venezuela,Delta Amacuro,8.7713,-61.3279,max,earthquake,7.09
Venezuela,Monagas,9.4086,-63.0234,max,earthquake,8.56
Venezuela,Nueva Esparta,10.99,-64.0571,max,earthquake,7.47
Venezuela,Portuguesa,9.018,-69.2684,max,earthquake,7.84
Venezuela,Sucre,10.4123,-63.3674,max,earthquake,8.9
Venezuela,Yaracuy,10.2651,-68.7366,max,earthquake,6.76
Yemen,Lahj,13.1784,44.5468,max,earthquake,5.29
Yemen,Al Bayda,14.3203,45.3431,max,earthquake,6.53
Yemen,Ma'rib,15.4937,45.5172,max,earthquake,5.9
Yemen,Abyan,13.7017,46.1568,max,earthquake,5.1
Yemen,Shabwah,14.7604,46.9257,max,earthquake,5.18
Yemen,Al Maharah,16.7357,51.5745,max,earthquake,5.76
Yemen,Hadramawt,16.6828,49.155,max,earthquake,5.43
Yemen,Ibb,14.0744,44.1718,max,earthquake,7.18
Yemen,Sana'a City,15.4333,44.2267,max,earthquake,6
Yemen,Ta'iz,13.414,43.7809,max,earthquake,5.52
Yemen,Al Jawf,16.6155,45.5975,max,earthquake,5.54
Yemen,Hajjah,16.0777,43.2702,max,earthquake,7.7
Yemen,Al Hodeidah,14.815,43.1858,max,earthquake,5.81
Yemen,Dhamar,14.5977,44.2003,max,earthquake,7.82
Yemen,Sa'dah,17.0801,43.9188,max,earthquake,7.7
Yemen,Sana'a,15.3322,44.3463,max,earthquake,6.81
Yemen,Aden,12.8393,44.8155,max,earthquake,4.7
Yemen,Al Mahwit,15.3739,43.5413,max,earthquake,6.15
Yemen,Amran,16.1671,43.9003,max,earthquake,7.31
Yemen,Ad Dali',13.8998,44.7645,max,earthquake,6.01
Yemen,Raymah,14.6611,43.6759,max,earthquake,6.6
Yemen,Socotra,12.4951,53.8256,max,earthquake,6.41
